	Control_cell_T0-1	Control_cell_T0-2	Control_cell_T0-3	Control_cell_T1h-1	Control_cell_T1h-2	Control_cell_T1h-3	Control_cell_T2h-1	Control_cell_T2h-2	Control_cell_T2h-3	Control_cell_T4h-1	Control_cell_T4h-2	Control_cell_T4h-3	Control_cell_T6h-1	Control_cell_T6h-2	Control_cell_T6h-3	Control_cell_T24h-1	Control_cell_T24h-2	Control_cell_T24h-3	L-Cycloserine_cell_T0-1	L-Cycloserine_cell_T0-2	L-Cycloserine_cell_T0-3	L-Cycloserine_cell_T1h-1	L-Cycloserine_cell_T1h-2	L-Cycloserine_cell_T1h-3	L-Cycloserine_cell_T2h-1	L-Cycloserine_cell_T2h-2	L-Cycloserine_cell_T2h-3	L-Cycloserine_cell_T4h-1	L-Cycloserine_cell_T4h-2	L-Cycloserine_cell_T4h-3	L-Cycloserine_cell_T6h-1	L-Cycloserine_cell_T6h-2	L-Cycloserine_cell_T6h-3	L-Cycloserine_cell_T24h-1	L-Cycloserine_cell_T24h-2	L-Cycloserine_cell_T24h-3
L-Alanine	22649011.0	16409327.1	22888254.5	24717698.7	21784853.7	23319151.5	21944704.0	30029221.6	30622743.6	25020286.9	27746195.6	25395004.5	25174123.7	25820795.6	28049900.7	28011479.8	24729781.5	20336354.1	25229009.9	22911470.49	19337176.5	20459063.6	21919664.1	20684320.4	24961770.3	27329069.5	26403506.2	22168585.4	20349378.47	24195318.7	25183319.2	26837346.9	25671179.2	17416916.57	22089872.3	21523301.7
L-Histidine	25614396.4	31206054.0	24365780.8	26318166.5	25807239.2	26456257.2	25631133.9	24417951.2	23333253.9	24467522.1	24729724.9	23177144.0	33199840.0	30739980.0	30682070.0	38954595.0	33608920.0	32943676.0	31622021.0	29272457.0	28426182.0	25511493.5	27777863.9	32433860.0	22793324.6	23684545.6	29946278.0	18272171.8	23392208.2	25318212.8	34941574.0	33785682.0	35548219.0	44512411.0	46720718.0	42173778.0
L-Proline	13390973.87	13445533.0	10053159.0	18345922.29	14892684.7	13574122.2	14324740.18	17726965.79	20601318.18	18612595.71	19445506.47	20558858.86	20833313.35	17748740.11	23687846.98	34511840.6	30501080.73	32874323.8	14283418.0	16327047.0	10879233.0	13316711.7	16515950.62	19006179.6	16112518.32	17525963.3	19841087.91	17709118.59	13371105.35	21581437.1	20225966.3	22758870.46	22838507.01	22389620.79	27424377.72	26875543.0
L-Serine	55021039.0	58821628.0	52053644.0	62576680.0	62215073.0	66144556.0	64012264.0	64701186.0	65060797.0	69883657.0	68660534.0	71566036.0	86524372.0	87011536.0	87020522.0	115937274.0	88913410.0	101465743.0	63397107.0	67781014.0	67335152.0	61189479.0	62157909.0	71619234.0	58280655.0	64369658.0	80383164.0	58502332.0	60681102.0	72635455.0	92382484.0	89156663.0	96952648.0	101622475.0	108426506.0	110628028.0
L-Tryptophan	7028810.9	10505013.4	6388878.0	7065378.3	6836952.0	7350611.4	8591927.2	6099054.9	7043356.5	6858808.1	7965733.9	6617506.3	8926054.1	6918932.4	7312021.8	8329223.9	8971040.2	8852126.7	8316050.6	8154193.6	6738405.8	7044899.9	8820139.3	9890052.8	7348378.6	6234285.49	7106641.8	5246540.2	6617927.4	7806137.7	9290817.9	7760508.9	8160735.0	11612804.4	12956636.8	10360058.8
L-Valine	312654463.0	365132601.48	310012951.3	304532942.91	368726560.53	305364933.11	378353555.7	372283082.1	368282363.9	375232668.0	343968209.9	390264179.3	393287831.91	422755950.0	400832844.4	607222916.5	394674001.3	408093493.0	389379660.0	432290095.5	463746003.1	329091731.38	322403331.2	397349273.2	314215862.45	363223524.8	527780123.0	289886798.63	349998692.1	369350797.0	478453336.3	440824882.1	514338412.5	639718855.2	553946070.3	569880947.4
L-Arginine	16442426.6	22854539.3	14388739.8	15803457.7	16703221.0	16938360.1	20469035.5	16060503.5	16426155.8	18087079.3	17518647.2	16382640.7	22901086.6	19845756.3	20356313.6	22386708.7	20449617.6	21676023.5	20769951.5	20941347.5	19255685.2	16639616.9	18693957.0	25297017.0	16752801.3	16915453.2	20498062.2	12809501.1	17355143.3	18402165.9	24498131.1	20447856.3	23350084.1	31383533.0	30500387.0	26137794.1
L-Threonine	245982311.11	247142512.46	241500632.01	250147103.38	248520856.77	246976707.14	242452245.1	263501444.85	264984048.53	268103645.2	270722915.86	280087631.58	321278684.35	323527403.17	328486535.04	504252460.29	384122174.52	405266372.2	285784124.23	292191827.23	284107199.79	237215595.59	248621638.08	271537922.23	229447619.57	253253915.51	311146860.57	219573932.39	235915355.74	273595421.96	345005924.14	344494481.55	368048334.03	418786906.52	458976576.83	451843573.0
L-Lysine	19165496.5	29471623.4	17204894.0	18981397.16	20557328.41	21148353.5	26860225.0	19486771.0	20734474.4	21865658.9	21876933.5	21121941.8	28543589.9	25127399.4	24726805.3	28833669.3	25595839.9	26606920.0	24792410.1	24887241.8	24750845.2	20456068.2	23593851.6	30603991.3	21788005.57	20743449.5	25984608.5	15435487.5	22292712.5	22146786.0	30772780.6	26666101.8	29027406.9	41654884.0	40367744.0	33244031.4
Ile_Leu	1095487649.0	1752179215.0	1068224445.0	1028363546.0	1320955124.0	1038375972.0	1309578189.0	1359810041.0	1300060908.0	1303620489.0	1206242706.0	1416906006.0	1416047374.0	1511848943.0	1461425014.0	2359069766.0	1426256544.0	1471886586.0	1374402679.0	1555688329.0	1753549266.0	1142386627.0	1100617140.0	1413488807.0	1072056316.0	1276849436.0	1894479123.0	961330175.0	1210573143.0	1260199433.0	1760348152.0	1602713744.0	1872559157.0	2498325646.0	2137315264.0	2158926640.0
L-Aspartic_acid	112219898.2	115742348.19	113227218.23	55777135.6	46407567.6	47148854.7	30074942.7	45461080.2	46966805.3	39287256.1	38067684.7	45070154.0	50314716.0	51024506.0	53143933.0	74497780.0	54360439.0	46678259.0	90793752.67	85908865.33	78073187.8	33359089.0	39486948.2	38729090.3	27983602.2	36223143.9	41287317.8	24262330.5	23431940.5	29629906.9	43301609.0	46709294.0	45651520.0	38203021.0	42677361.0	46724636.0
L-Tyrosine	330361672.0	471927637.0	323934663.4	319272707.5	380722762.9	313735332.2	359039714.3	384139846.4	371873121.5	378624172.0	345339730.9	409767250.8	422190408.7	451684062.0	439317481.0	726301229.0	447201309.0	456977261.0	402751281.4	451042651.0	492447194.0	334810488.9	325407681.0	400002152.0	302209623.6	362234612.0	533271910.0	280437748.9	337046313.4	364879084.4	509108835.0	471351715.0	544977826.0	706680663.0	612636087.0	635502575.0
