	mets	stat	pval	padj	FC_geommu	log2FC
0	L-Lactic_acid	-2.103700866641393	0.10322124850701721	0.4331431716066013	0.7217594364347678	-0.4704100302042176
1	Hexose	-1.304260348448447	0.26213085188433893	0.4458202965226364	0.976224274777667	-0.03471546867723821
2	Hexose-phosphate	1.768498671643553	0.15170500560364128	0.4331431716066013	1.065493282351193	0.09152149734476318
3	Pyruvic_acid	2.5011963068533545	0.06668124905652403	0.4331431716066013	1.066297695111142	0.09261027421543817
4	L-Glutamine	-1.8033889127148217	0.14566292709186934	0.4331431716066013	0.882541927929272	-0.18026327511119597
5	L-Methionine	2.1946811219789604	0.09320390761570932	0.4331431716066013	1.030816820552838	0.043787983957602694
6	L-Phenylalanine	1.0414960501037231	0.3564531727537345	0.5107099009227928	1.026816488298994	0.03817836755908501
7	Glycine	1.038963885853344	0.3574969306459549	0.5107099009227928	1.1830409611650712	0.24250002587269132
8	L-Alanine	-0.29535718409738154	0.7824179231799497	0.7824179231799497	0.9778090277741806	-0.03237536957310203
9	L-Histidine	-1.2870933926471715	0.2674921779135818	0.4458202965226364	0.9831391793064127	-0.024532426966765414
10	L-Proline	1.5550285841060187	0.1949144272229706	0.4331431716066013	1.1475331826500401	0.19853587194191363
11	L-Serine	-0.31091041130363445	0.7713970159172476	0.7824179231799497	0.9945583613095936	-0.007872063092798639
12	L-Tryptophan	-1.5898531864077856	0.18707230081423432	0.4331431716066013	0.9449464548985124	-0.08169551311025668
13	L-Valine	1.768396964730669	0.151723003954421	0.4331431716066013	1.0329177984619256	0.0467254463906923
14	L-Arginine	-1.7190988981164226	0.1607194579148545	0.4331431716066013	0.9789396796392954	-0.03070812838456102
15	L-Asparagine	-0.8191754549525512	0.4586857379421082	0.539630279931892	0.9677469436438327	-0.04729824870854997
16	L-Threonine	1.344853163657314	0.2498654966924874	0.4458202965226364	1.0123364605294598	0.01768886440263125
17	L-Lysine	-0.9141614532756893	0.41235167403460693	0.539630279931892	0.9827893671968397	-0.02504584562783296
18	Ile_Leu	0.867937661702536	0.4343984507313775	0.539630279931892	1.025827929529938	0.036788756254154814
19	L-Tyrosine	0.490819460601742	0.6492629578091161	0.7214032864545735	1.0102727452248281	0.014744832643539664
