	mets	stat	pval	padj	FC_geommu	log2FC
0	L-Lactic_acid	0.7096031398985537	0.5171251668810349	0.5171251668810349	1.098041597637663	0.13493270968811125
1	Hexose	7.117323579781245	0.002059613546582327	0.028077047740464278	1.126345581297827	0.1716495378375835
2	Hexose-phosphate	1.0922982990579497	0.336079140797545	0.37342126755282773	1.0631111495926964	0.08829244031514384
3	Pyruvic_acid	6.550779593873805	0.002807704774046428	0.028077047740464278	1.0886983981612814	0.1226043399666691
4	L-Glutamine	1.9770135537786468	0.11920832984151065	0.18287628461424982	1.109702766355881	0.15017330276586174
5	L-Methionine	1.997622929604205	0.11643215018809429	0.18287628461424982	1.065612871562054	0.0916834139731935
6	L-Phenylalanine	2.2634811638881773	0.08634742812475694	0.1726948562495139	1.0889607706324154	0.12295198249055585
7	Glycine	1.4593651808779722	0.21823324091799806	0.29097765455733077	1.054311973323956	0.0763018269092748
8	L-Alanine	2.3162972566318842	0.08146701445247265	0.1726948562495139	1.117604098897566	0.1604092170629016
9	L-Histidine	2.8794385109726837	0.045038543346540644	0.1726948562495139	1.044332117546504	0.06258058943723546
10	L-Proline	1.1669170508023041	0.3080660776148253	0.3624306795468533	1.097965484006176	0.134832702033626
11	L-Serine	2.832395808145592	0.04723015798474549	0.1726948562495139	1.1156615925282263	0.1578994887995412
12	L-Tryptophan	1.2022214778598987	0.29557991469982803	0.3624306795468533	1.030661240006039	0.0435702224513842
13	L-Valine	2.4418998022244107	0.0710627191087769	0.1726948562495139	1.0588491447001722	0.08249706176104925
14	L-Arginine	-0.9915575595855418	0.37754083456504467	0.3974114048053102	0.9812249843207045	-0.02734412607879821
15	L-Asparagine	4.357260415868681	0.01208805693688014	0.0805870462458676	1.1585857545884428	0.2123648315491171
16	L-Threonine	2.433598374279577	0.07170188541109085	0.1726948562495139	1.062237495877237	0.08710636107452013
17	L-Lysine	-1.914952592368153	0.12801339922997487	0.18287628461424982	0.9781042062564027	-0.03193991821636215
18	Ile_Leu	2.594962526208033	0.060367444325831396	0.1726948562495139	1.0889514451811098	0.12293962773883073
19	L-Tyrosine	2.0743359297719195	0.10670486445279428	0.18287628461424982	1.0719802277964636	0.10027829616596926
